Index,Time_s,Fx,Fy,Fz,F_Amp,Psi_Imp,Psi_Int,Beta,K_Stiffness,Vel_Raw,Vel_Filt,Acc_Raw,Acc_Filt,Lyapunov_V_Nmm,Loop_Duration_s,q1,q2,q3,q4,q5,tau1,tau2,tau3,tau4,tau5,deltaXcmd,deltaYcmd,deltaZcmd,Tx_EE,Ty_EE,Tz_EE,Roll,Pitch,Yaw
0,0.0000,-0.0259,0.0128,-0.0141,0.0321,0.0000,0.0000,0.0000,20.0000,0.4399,0.0489,24.9681,2.2108,0.0000,0.000787,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,-0.003291,-0.001088,0.002709,0.0027,0.0035,-0.0021,180.0000,0.0000,0.0000
1,0.0100,-0.0437,0.0217,-0.0237,0.0542,0.0000,0.0000,0.0000,20.0000,0.7788,0.0797,35.3074,3.7470,0.0000,0.000803,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,-0.006178,-0.002772,0.003848,0.0006,0.0018,-0.0020,180.0000,0.0000,0.0000
2,0.0200,-0.0463,0.0251,-0.0371,0.0644,0.0000,0.0000,0.0000,20.0000,1.0693,0.1261,29.7229,5.3295,0.0000,0.000794,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,-0.008018,-0.004040,0.005808,0.0004,0.0002,-0.0002,180.0000,0.0000,0.0000
3,0.0300,-0.0397,0.0329,-0.0536,0.0744,0.0000,0.0000,0.0000,20.0000,1.3157,0.1848,31.2044,6.7121,0.0000,0.000758,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,-0.008356,-0.005515,0.008536,0.0007,0.0002,-0.0009,180.0000,0.0000,0.0000
4,0.0400,-0.0294,0.0433,-0.0712,0.0884,0.0000,0.0000,0.0000,20.0000,1.5786,0.2542,38.3211,8.2551,0.0000,0.000786,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,-0.007496,-0.007354,0.011787,-0.0001,-0.0003,-0.0007,180.0000,0.0000,0.0000
5,0.0500,-0.0139,0.0457,-0.0853,0.0978,0.0000,0.0000,0.0000,20.0000,1.8108,0.3335,39.8240,9.9503,0.0001,0.000740,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,-0.005456,-0.008600,0.014972,-0.0008,-0.0007,-0.0014,180.0000,0.0000,0.0000
6,0.0600,0.0060,0.0419,-0.0936,0.1027,0.0000,0.0000,0.0000,20.0000,1.9791,0.4194,40.4749,11.6115,0.0001,0.000795,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,-0.002330,-0.008893,0.017526,-0.0027,-0.0009,0.0008,180.0000,0.0000,0.0000
7,0.0700,0.0201,0.0384,-0.0912,0.1010,0.0000,0.0000,0.0000,20.0000,2.0603,0.5074,33.4966,13.0073,0.0001,0.000724,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,0.000812,-0.008679,0.018668,-0.0033,0.0000,0.0005,180.0000,0.0000,0.0000
8,0.0800,0.0314,0.0281,-0.0820,0.0922,0.0000,0.0000,0.0000,20.0000,2.0158,0.5916,31.1112,14.0687,0.0002,0.000829,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,0.003679,-0.007519,0.018337,-0.0043,-0.0007,0.0016,180.0000,0.0000,0.0000
9,0.0900,0.0448,0.0126,-0.0720,0.0857,0.0000,0.0000,0.0000,20.0000,1.9100,0.6670,38.5457,15.2107,0.0002,0.000768,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,0.006596,-0.005314,0.017119,-0.0045,-0.0001,0.0019,180.0000,0.0000,0.0000
10,0.1000,0.0510,0.0004,-0.0618,0.0801,0.0000,0.0000,0.0000,20.0000,1.7966,0.7323,37.3044,16.4602,0.0002,0.000861,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,0.008815,-0.002862,0.015391,-0.0052,-0.0003,0.0020,180.0000,0.0000,0.0000
11,0.1100,0.0439,-0.0126,-0.0580,0.0738,0.0000,0.0000,0.0000,20.0000,1.6835,0.7877,30.3676,17.4160,0.0003,0.000823,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,0.009314,-0.000198,0.014022,-0.0049,0.0001,0.0019,180.0000,0.0000,0.0000
12,0.1200,0.0250,-0.0268,-0.0636,0.0734,0.0000,0.0000,0.0000,20.0000,1.6021,0.8348,33.2914,18.2088,0.0003,0.000822,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,0.007683,0.002695,0.013798,-0.0048,-0.0002,0.0012,180.0000,0.0000,0.0000
13,0.1300,0.0005,-0.0346,-0.0714,0.0793,0.0000,0.0000,0.0000,20.0000,1.5890,0.8766,41.7022,19.2698,0.0004,0.000759,219.0535,12.1854,-75.9173,63.7319,219.0535,-0.0000,-17.0423,-11.1371,-0.9857,-0.0000,0.004311,0.005066,0.014431,-0.0040,-0.0005,0.0002,180.0000,0.0000,0.0000
